work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,id
2024,Senior-level,Full-time,Product Manager,191100,US,0,US,Medium (51–500 employees),97576
2024,Senior-level,Full-time,Product Manager,142600,US,0,US,Medium (51–500 employees),97577
2024,Junior,Full-time,Manager,202920,US,0,US,Medium (51–500 employees),97578
2024,Junior,Full-time,Manager,111000,US,0,US,Medium (51–500 employees),97579
2024,Junior,Full-time,Manager,188100,US,0,US,Medium (51–500 employees),97580
2024,Junior,Full-time,Manager,103000,US,0,US,Medium (51–500 employees),97581
2024,Junior,Full-time,Manager,72000,US,0,US,Medium (51–500 employees),97582
2024,Junior,Full-time,Manager,60000,US,0,US,Medium (51–500 employees),97583
2024,Mid-level,Full-time,Software Engineer,182394,US,0,US,Medium (51–500 employees),97589
2024,Junior,Full-time,Software Engineer,200200,US,0,US,Medium (51–500 employees),97590
2024,Junior,Full-time,Software Engineer,173301,US,0,US,Medium (51–500 employees),97591
2024,Senior-level,Full-time,Associate,50000,US,0,US,Medium (51–500 employees),97598
2024,Senior-level,Full-time,Manager,200200,US,0,US,Medium (51–500 employees),97600
2024,Senior-level,Full-time,Manager,149250,US,0,US,Medium (51–500 employees),97601
2024,Mid-level,Full-time,Engineer,157000,US,100,US,Medium (51–500 employees),97604
2024,Mid-level,Full-time,Engineer,113000,US,100,US,Medium (51–500 employees),97605
2024,Senior-level,Full-time,Software Engineer,170450,US,0,US,Medium (51–500 employees),97606
2024,Senior-level,Full-time,Software Engineer,109100,US,0,US,Medium (51–500 employees),97607
2024,Mid-level,Full-time,Software Engineer,123050,US,0,US,Medium (51–500 employees),97608
2024,Mid-level,Full-time,Software Engineer,90950,US,0,US,Medium (51–500 employees),97609
2024,Junior,Full-time,Engineer,107000,MT,0,MT,Medium (51–500 employees),97610
2024,Junior,Full-time,Engineer,52500,MT,0,MT,Medium (51–500 employees),97611
2024,Senior-level,Full-time,Data Scientist,96000,PL,0,PL,Medium (51–500 employees),97614
2024,Senior-level,Full-time,Data Scientist,72000,PL,0,PL,Medium (51–500 employees),97615
2024,Senior-level,Full-time,Data Architect,93750,GB,0,GB,Medium (51–500 employees),97621
2024,Mid-level,Full-time,Data Engineer,78000,PL,0,PL,Medium (51–500 employees),97622
2024,Mid-level,Full-time,Data Engineer,55500,PL,0,PL,Medium (51–500 employees),97623
2024,Mid-level,Full-time,Data Engineer,60800,US,0,US,Medium (51–500 employees),97625
2024,Senior-level,Full-time,Data Engineer,251250,US,0,US,Medium (51–500 employees),97626
2024,Senior-level,Full-time,Data Engineer,120750,US,0,US,Medium (51–500 employees),97627
2024,Senior-level,Full-time,Data Engineer,210600,US,0,US,Medium (51–500 employees),97628
2024,Mid-level,Full-time,Data Analyst,59500,US,0,US,Medium (51–500 employees),97635
2024,Junior,Full-time,DevOps Engineer,93109,CH,0,CH,Medium (51–500 employees),97638
2024,Mid-level,Full-time,Associate,97200,US,0,US,Medium (51–500 employees),97651
2024,Senior-level,Full-time,Python Developer,120000,CA,0,CA,Medium (51–500 employees),97654
2024,Senior-level,Full-time,Data Scientist,213000,US,0,US,Medium (51–500 employees),97658
2024,Senior-level,Full-time,Data Scientist,120700,US,0,US,Medium (51–500 employees),97659
2024,Senior-level,Full-time,Analytics Engineer,106250,GB,0,GB,Medium (51–500 employees),97676
2024,Senior-level,Full-time,Analytics Engineer,87500,GB,0,GB,Medium (51–500 employees),97677
2024,Senior-level,Full-time,Data Scientist,58834,US,0,US,Medium (51–500 employees),97679
2024,Senior-level,Full-time,Data Scientist,216000,US,100,US,Medium (51–500 employees),97688
2024,Senior-level,Full-time,Data Scientist,128000,US,100,US,Medium (51–500 employees),97689
2024,Senior-level,Full-time,Data Engineer,217000,US,100,US,Medium (51–500 employees),97690
2024,Senior-level,Full-time,Data Engineer,196000,US,100,US,Medium (51–500 employees),97691
2024,Mid-level,Contract,Data Engineer,100000,US,0,US,Medium (51–500 employees),97698
2024,Junior,Full-time,Software Development Engineer,129792,US,0,US,Medium (51–500 employees),97712
2024,Junior,Full-time,Software Development Engineer,75712,US,0,US,Medium (51–500 employees),97713
2024,Senior-level,Full-time,Software Engineer,128000,US,100,US,Medium (51–500 employees),97715
2024,Senior-level,Full-time,Software Engineer,153000,US,100,US,Medium (51–500 employees),97721
2024,Senior-level,Full-time,Engineer,324000,US,0,US,Medium (51–500 employees),97722
2024,Mid-level,Full-time,Data Governance Manager,177815,US,0,US,Medium (51–500 employees),97724
2024,Mid-level,Full-time,Data Governance Manager,113368,US,0,US,Medium (51–500 employees),97725
2024,Senior-level,Contract,Data Architect,100000,US,0,US,Medium (51–500 employees),97726
2024,Senior-level,Full-time,Manager,193750,GB,100,GB,Medium (51–500 employees),97738
2024,Senior-level,Full-time,Manager,162500,GB,100,GB,Medium (51–500 employees),97739
2024,Senior-level,Full-time,Product Manager,238000,US,0,US,Medium (51–500 employees),84388
2024,Senior-level,Full-time,Product Manager,171000,US,0,US,Medium (51–500 employees),84389
2024,Mid-level,Full-time,Data Scientist,102000,US,0,US,Medium (51–500 employees),84390
2024,Mid-level,Full-time,Data Scientist,87822,AT,0,AT,Medium (51–500 employees),84392
2024,Junior,Part-time,Data Scientist,137000,US,0,US,Medium (51–500 employees),84396
2024,Mid-level,Full-time,Machine Learning Engineer,172000,US,0,US,Medium (51–500 employees),84467
2024,Senior-level,Full-time,Machine Learning Engineer,178250,US,0,US,Medium (51–500 employees),84472
2024,Senior-level,Full-time,Machine Learning Engineer,92000,US,0,US,Medium (51–500 employees),84473
2024,Senior-level,Full-time,Data Scientist,136000,US,100,US,Medium (51–500 employees),84477
2024,Junior,Full-time,Data Scientist,97525,US,0,US,Medium (51–500 employees),84480
2024,Junior,Full-time,Data Scientist,53950,US,0,US,Medium (51–500 employees),84481
2024,Mid-level,Full-time,Software Engineer,149463,US,100,US,Medium (51–500 employees),84482
2024,Mid-level,Full-time,Software Engineer,62186,US,100,US,Medium (51–500 employees),84483
2024,Mid-level,Full-time,Research Scientist,117500,US,100,US,Medium (51–500 employees),84484
2024,Mid-level,Full-time,Research Scientist,65000,US,100,US,Medium (51–500 employees),84485
2024,Mid-level,Full-time,Engineer,210000,US,100,US,Medium (51–500 employees),84660
2024,Mid-level,Full-time,Engineer,180000,US,100,US,Medium (51–500 employees),84661
2024,Mid-level,Full-time,Software Engineer,184800,US,0,US,Medium (51–500 employees),84662
2024,Mid-level,Full-time,Software Engineer,123200,US,0,US,Medium (51–500 employees),84663
2024,Senior-level,Full-time,Manager,161500,CA,0,CA,Medium (51–500 employees),84664
2024,Senior-level,Full-time,Manager,86900,CA,0,CA,Medium (51–500 employees),84665
2024,Senior-level,Full-time,Business Intelligence Analyst,220611,US,0,US,Medium (51–500 employees),84739
2024,Senior-level,Full-time,Business Intelligence Analyst,123626,US,0,US,Medium (51–500 employees),84740
2024,Senior-level,Full-time,Research Engineer,107349,AU,0,AU,Medium (51–500 employees),84741
2024,Senior-level,Full-time,Research Engineer,98583,AU,0,AU,Medium (51–500 employees),84742
2024,Senior-level,Full-time,Analyst,97500,US,0,US,Medium (51–500 employees),84744
2024,Mid-level,Full-time,Associate,195000,CA,0,CA,Medium (51–500 employees),84745
2024,Mid-level,Full-time,Associate,154000,CA,0,CA,Medium (51–500 employees),84746
2024,Mid-level,Full-time,Manager,95500,US,0,US,Medium (51–500 employees),84748
2024,Mid-level,Full-time,Engineer,83850,US,0,US,Medium (51–500 employees),84749
2024,Mid-level,Full-time,Engineer,55900,US,0,US,Medium (51–500 employees),84750
2024,Senior-level,Full-time,BI Developer,145000,US,100,US,Medium (51–500 employees),84753
2024,Mid-level,Contract,Data Modeler,100000,US,0,US,Medium (51–500 employees),97740
2024,Senior-level,Full-time,Engineer,157600,US,100,US,Medium (51–500 employees),97742
2024,Mid-level,Full-time,Data Analytics Manager,198880,US,0,US,Medium (51–500 employees),97746
2024,Mid-level,Full-time,Data Analytics Manager,144640,US,0,US,Medium (51–500 employees),97747
2024,Mid-level,Full-time,Data Analyst,48000,CO,100,CO,Medium (51–500 employees),97750
2024,Mid-level,Full-time,Data Analyst,37800,CO,100,CO,Medium (51–500 employees),97751
2024,Mid-level,Full-time,Data Analyst,48000,MX,100,MX,Medium (51–500 employees),97752
2024,Mid-level,Full-time,Data Analyst,37800,MX,100,MX,Medium (51–500 employees),97753
2024,Mid-level,Full-time,Data Analyst,48000,BR,100,BR,Medium (51–500 employees),97754
2024,Mid-level,Full-time,Data Analyst,37800,BR,100,BR,Medium (51–500 employees),97755
2024,Mid-level,Full-time,Data Analyst,48000,AR,100,AR,Medium (51–500 employees),97756
2024,Mid-level,Full-time,Data Analyst,37800,AR,100,AR,Medium (51–500 employees),97757
2024,Senior-level,Full-time,Research Scientist,223200,US,0,US,Medium (51–500 employees),97768
2024,Senior-level,Full-time,Research Scientist,178560,US,0,US,Medium (51–500 employees),97769
2024,Mid-level,Full-time,Manager,50000,US,100,US,Medium (51–500 employees),97776
2024,Mid-level,Full-time,Engineer,55000,US,100,US,Medium (51–500 employees),97779
2024,Junior,Full-time,Engineer,126880,US,0,US,Medium (51–500 employees),97780
2024,Junior,Full-time,Engineer,76960,US,0,US,Medium (51–500 employees),97781
2024,Senior-level,Full-time,Engineer,75000,GB,0,GB,Medium (51–500 employees),97791
2024,Mid-level,Full-time,Research Scientist,360000,US,0,US,Medium (51–500 employees),97793
2024,Director,Full-time,Engineer,550000,US,0,US,Medium (51–500 employees),97800
2024,Director,Full-time,Engineer,450000,US,0,US,Medium (51–500 employees),97801
